Id,SalePrice
2,118335.83255969163
4,260199.57097194163
6,186077.69804270857
7,280914.81237154664
17,210011.48059880987
18,367987.74619248195
22,199856.83083054898
27,114745.57859295602
31,97435.3946674335
36,153673.0348920388
39,360984.5239340911
40,279623.6051177594
42,319647.278525584
46,262026.29120837912
53,180400.3079520566
58,173255.18508519133
61,306663.9905022795
72,215861.1886719143
79,119329.5283283355
80,195931.16077381614
82,153667.16586794032
83,92511.18207721306
85,160998.6287919617
88,124866.3976521827
92,318981.65341247065
93,307078.63461887516
95,183943.63323354654
102,209151.4699251264
103,196721.24356467518
106,239174.95083399303
107,187325.22524700625
110,221936.84669251478
114,190382.5266863261
116,187850.9085654115
117,154405.94458130954
118,147361.65099692144
125,162242.62918528967
126,185192.79744823268
127,134911.52236500272
128,206096.3338210184
134,135824.86697067955
135,176410.82553862955
137,233366.32272800495
143,133203.85549112753
147,128848.28357612621
148,188189.54062487642
150,96163.31828960609
156,142886.09541933134
157,116904.13239577714
159,159456.8096615718
161,260415.7408692722
167,127123.43253230923
170,151433.12902247475
171,87596.99544028596
175,105277.4143942055
179,112273.41793537825
181,106785.9680214722
186,204076.48069612266
193,194112.00875951536
194,87969.23840333559
206,101134.61254239963
208,153791.6632955474
210,169019.41828479472
211,127233.96072895636
212,110046.70101055413
214,101890.63944519736
215,148814.87035150372
217,140405.0413960662
222,149741.17857311148
227,153675.7966868115
228,164608.8211098619
233,235122.42234316893
235,110343.22464617422
238,124001.01079945336
241,153170.56205121597
252,186162.86349402912
253,192898.94437337056
256,149754.96474358885
257,141624.39730130837
258,190253.13869837907
259,180451.95451526187
261,145039.23119507328
263,126514.7956500452
266,234699.71450116273
267,228355.35987754154
270,161673.4903187499
271,247729.4549293139
276,109596.07306196037
285,139303.528541977
288,66531.8432560656
289,138569.43813625118
290,130654.92050679398
291,139644.16844746965
292,133675.662423375
293,191607.16248903942
294,252115.06392323418
295,211744.55935557795
304,119509.66762960926
322,310635.41510830575
326,159416.49114765134
327,92611.07376194731
328,122590.30496553904
331,69351.0672262201
332,76409.80806973923
333,88461.82935768321
335,143101.60098135556
337,179334.76968112602
342,126583.01408972414
343,188780.49357688602
347,178691.28723593536
350,346474.28608946933
352,254800.49783974703
358,189401.3481436667
359,188186.58639679954
360,164200.6988596553
368,328157.7808482972
369,301368.42914980126
373,184490.71538729285
377,236066.79083401622
383,188228.8337518579
386,226893.78924353793
387,227579.9583207827
390,165600.48724348488
391,160425.33395904905
395,158943.47399557094
397,133946.55789293547
398,116551.36124867242
401,105400.03125459615
404,115533.55519624091
408,97170.95328874682
409,133921.68604390038
410,155052.75388951245
418,130516.32538471278
422,413957.9424197263
427,341551.77796396264
431,381198.6565017853
433,425657.7844278121
437,353253.4330075719
438,290998.82779711235
442,352201.589386099
447,255167.27759644424
459,336127.75219366234
460,307228.1241750674
464,239538.73108700238
465,206207.20047567875
467,196343.7949899738
468,190659.60530744318
474,184049.71512499783
480,206851.05064780518
481,220215.9454386076
483,263592.1043733825
488,174225.5388534818
492,185675.40548949406
494,171094.81881334394
499,337540.72409535013
500,298473.37404653034
501,320009.86647656496
503,282381.1296339675
506,274177.96779876814
508,240517.46402817228
511,266086.07803868
515,221056.55193345313
519,224901.80342055505
521,254059.11774223618
530,226027.5122700791
532,216410.7010648924
534,182130.33041087666
540,181219.20575773175
541,125230.32335344816
551,144556.40167412025
552,168590.45117556187
554,101660.55365352512
555,123770.69177396745
556,129067.28018592368
557,129497.82211430097
565,262247.9447650238
566,255604.9421204476
567,164519.4765781485
569,204411.40299328367
570,203968.28762207905
574,233464.20432642233
575,279674.12716997747
576,215009.42988885747
577,208851.19269272694
578,218455.50643243064
583,218494.2718087185
584,216817.54034448252
585,159311.01924301265
587,198975.81166908983
593,223408.01731140498
597,202639.302393624
598,175002.00641253972
599,157379.92796825233
600,119478.44107385218
605,176417.9107292406
607,172749.91458656755
608,167977.5523014851
611,168298.76753456413
616,140238.50223106396
625,181218.97258840248
629,178476.8261852141
630,133416.06280349055
631,147723.5919479928
640,192256.09419074384
642,167637.0405815041
643,137698.82348218944
646,102537.49870026132
647,176704.1860225307
655,69879.38034395379
659,125852.08327484856
663,42716.14451417819
665,111489.17426920385
667,217946.41952515845
673,146329.13551079642
676,140444.72470238872
680,149390.247462526
682,122976.673131516
687,147651.55170567025
688,165780.53299615902
692,118446.6805547665
693,107576.84991440231
695,173070.87029880894
697,131780.3829410958
700,148115.8518901639
702,153305.68652040538
703,150453.06343970052
704,97908.2060360149
712,99260.20804148265
713,98264.53682157808
717,231731.7129300505
720,208019.7158868327
721,71823.29946717061
726,160700.55867325544
733,101052.63308245101
736,124237.26922424155
